project_index,group,project_root,style,name,length
1,第一组_保护柜,/mnt/data/xj_dataset/110kV变压器保护柜/WBH-812E-E1SA(二侧差动+调压)+WBH-813E-E1SH+WBH-813E-E1SH+WBH-814E-E1SA,右侧,2BD,68.2
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,左侧,1-25TD,0.0
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,左侧,2-25TD,0.0
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,左侧,BD,0.0
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,左侧,JD,0.0
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,左侧,YD,0.0
2,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/10000 远动通信柜,左侧,ZD,0.0
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,左侧,1-42TD,0.0
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,左侧,44TD,0.0
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,左侧,BD,0.0
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,左侧,JD,0.0
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,左侧,YD,0.0
3,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/11000 站控层网络通信柜,左侧,ZD,0.0
4,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/12000 主变及35kV网络通信柜,左侧,BD,0.0
4,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/12000 主变及35kV网络通信柜,左侧,YD,0.0
4,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/12000 主变及35kV网络通信柜,左侧,ZD,0.0
4,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/12000 主变及35kV网络通信柜,左侧,JD,0.0
5,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/13000 光伏区网络通信A柜,左侧,BD,0.0
5,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/13000 光伏区网络通信A柜,左侧,JD,0.0
6,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/14000 光伏区网络通信B柜,左侧,1-42TD,0.0
6,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/14000 光伏区网络通信B柜,左侧,BD,0.0
6,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/14000 光伏区网络通信B柜,左侧,YD,0.0
6,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/14000 光伏区网络通信B柜,左侧,ZD,0.0
6,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/14000 光伏区网络通信B柜,左侧,JD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,左侧,2-21CD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,左侧,2-21GD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,左侧,2-21QD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,左侧,2-21UD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,左侧,2-21YD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,左侧,YD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,左侧,ZD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,1-21CD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,1-21GD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,1-21QD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,1-21UD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,1-21YD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,TD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,BD,0.0
7,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/15000 220kV公用测控柜,右侧,JD,0.0
8,第三组_合同子项目,/mnt/data/xj_dataset/【出原理图】N2604HBJ20732J合同/16000 220kV电压并列柜,左侧,7U1D,0.0
